Error norm,Size,Duration
1.0635971069508272,994,1.530119
0.13645004326801588,,
0.11796164355196848,,
0.14127303917949027,,
0.19240192316989571,,
0.28537391320288641,,
0.45195615262119149,,
0.75479864760512194,,
1.3155360703111769,,
2.3703361188832002,,
4.3789388970283438,,
8.2388378716613122,,
15.706496532760706,,
30.226649153266585,,
58.566656901879554,,
114.04025112117621,,
222.87122515964853,,
436.76399129275165,,
857.75002900507059,,
1687.3252033893109,,
3323.6736757104054,,
6554.1231661129696,,
12936.267721574139,,
25552.997266619703,,
50508.78268037126,,
99895.906862146963,,
197676.47823758374,,
391349.68576772307,,
775100.4204716672,,
1535738.9868597009,,
3043892.0360952513,,
6035057.136443086,,
11969150.409299139,,
23744653.539041761,,
47117339.909494013,,
93519210.223475665,,
185660498.61450362,,
368664162.11090577,,
732199991.42930806,,
1454491012.0076835,,
2889817663.4892774,,
5742537442.6520491,,
11413201013.306799,,
22687041370.537739,,
45103662926.60173,,
89682216777.889572,,
178344062639.29788,,
354704086364.15381,,
705547944800.23718,,
1403580796418.324,,
2792522866440.7803,,
5556515237608.9131,,
11057396167606.385,,
22006251214296.34,,
43800639197452.242,,
87187546977777.469,,
173566788624653.25,,
345553714858388.81,,
688018249876101.88,,
1369993663285585.8,,
2728162190363496,,
5433175319623596,,
10821017365799982,,
21553226735493688,,
42932419740234224,,
85523680762803744,,
1.7037837597646118e+17,,
3.3944452194470752e+17,,
6.7631431148523366e+17,,
1.3475752743340726e+18,,
2.6852297245586867e+18,,
5.3509774274612705e+18,,
1.0663686949786292e+19,,
2.1252186250409554e+19,,
4.2356609274145227e+19,,
8.4422755234001797e+19,,
1.6827440224256616e+20,,
3.3542563575739888e+20,,
6.6864190169341192e+20,,
1.3329368385427061e+21,,
2.6573191560054676e+21,,
5.2978001456454949e+21,,
1.0562450472264163e+22,,
2.1059625080408553e+22,,
4.1990689791490522e+22,,
8.3728133583033835e+22,,
1.6695731703814769e+23,,
3.3293141822446257e+23,,
6.6392500504772117e+23,,
1.3240300682894165e+24,,
2.640528845006593e+24,,
5.266206799141761e+24,,
1.0503124614029949e+25,,
2.094847643651014e+25,,
4.1782978250158831e+25,,
8.3341073140686862e+25,,
1.6623836452264771e+26,,
3.3160085186969814e+26,,
6.6147277411271005e+26,,
1.3195322792194052e+27,,
2.6323251527682981e+27,,
5.2513417970431151e+27,,
1.0476399516639036e+28,,
2.0900881918519266e+28,,
4.169920295553565e+28,,
8.3195775192831172e+28,,
1.6599116321452486e+29,,
3.3119109164425563e+29,,
6.6081838770266974e+29,,
1.318545746551313e+30,,
2.6309810360186885e+30,,
5.2498814019853488e+30,,
1.0475876212591557e+31,,
2.0904517596996785e+31,,
4.1715620607773927e+31,,
8.3246480150318949e+31,,
1.6612749271537196e+32,,
3.3153200062891569e+32,,
6.6163362384351047e+32,,
1.3204370772853006e+33,,
2.6352738157714144e+33,,
5.2594646880007372e+33,,
1.0496994540104145e+34,,
2.0950572914254662e+34,,
4.1815203773322706e+34,,
8.3460271404340692e+34,,
1.6658370299793068e+35,,
3.3250046769827842e+35,,
6.6368030058047833e+35,,
1.324745345680226e+36,,
2.6443112937309955e+36,,
5.2783642350396155e+36,,
1.0536409172465781e+37,,
2.1032567779921117e+37,,
4.1985397255919358e+37,,
8.3812817734476914e+37,,
1.6731263118464763e+38,,
3.3400505398727482e+38,,
6.6678109957722915e+38,,
1.3311266241926242e+39,,
2.657426249989188e+39,,
5.3052853762117364e+39,,
1.0591607457294837e+40,,
2.1145624770671199e+40,,
4.2216731479174228e+40,,
8.4285730436338625e+40,,
1.6827856227666944e+41,,
3.3597638057163228e+41,,
6.708012237777666e+41,,
1.3393189692671813e+42,,
2.6741095787251236e+42,,
5.3392384651442485e+42,,
1.0660665318408629e+43,,
2.128600249299425e+43,,
4.2501930118181392e+43,,
8.4864856231784264e+43,,
1.6945396242154836e+44,,
3.3836087510854092e+44,,
6.7563642301094846e+44,,
1.3491194845827517e+45,,
2.6939663394798807e+45,,
5.3794546406173481e+45,,
1.0742085755125144e+46,,
2.1450785852606615e+46,,
4.283531591469672e+46,,
8.5539137058923533e+46,,
1.7081729028461578e+47,,
3.411165695913435e+47,,
6.812049232940198e+47,,
1.360368816503008e+48,,
2.7166859634816086e+48,,
5.425328559607833e+48,,
1.0834688739661888e+49,,
2.1637674314462604e+49,,
4.3212403373359513e+49,,
8.6299826385038018e+49,,
1.7235148879627788e+50,,
3.4421019692040949e+50,,
6.8744183630779008e+50,,
1.37294038702619e+51,,
2.7420215120428336e+51,,
5.4763784315429626e+51,,
1.0937534192041207e+52,,
2.1844833420708903e+52,,
4.3629612468025391e+52,,
8.7139937072730363e+52,,
1.7404292010053443e+53,,
3.4761513601016378e+53,,
6.9429519388707605e+53,,
1.3867327396026169e+54,,
2.7697748995188946e+54,,
5.5322174842172697e+54,,
1.1049866870524202e+55,,
2.2070788333343081e+55,,
4.4084062953871469e+55,,
8.8053843890756702e+55,,
1.7588059726656452e+56,,
3.5130992652156751e+56,,
7.0172307614587842e+56,,
1.4016639851358569e+57,,
2.7997861503331077e+57,,
5.592533180186994e+57,,
1.1171076156074561e+58,,
2.2314346005013356e+58,,
4.4573423718444941e+58,,
8.9036991862922243e+58,,
1.7785561956732984e+59,,
3.5527717521523053e+59,,
7.0969149315804321e+59,,
1.4176676982757096e+60,,
2.8319254478061604e+60,,
5.6570718084670337e+60,,
1.1300666188440317e+61,,
2.2574537288660798e+61,,
4.5095800545606999e+61,,
9.0085678635187538e+61,,
1.7996075041206562e+62,,
3.5950273729091132e+62,,
7.1817279681440395e+62,,
1.4346898360866923e+63,,
2.8660871548647301e+63,,
5.725626880128605e+63,,
1.1438233341561694e+64,,
2.2850573210332526e+64,,
4.5649651215874565e+64,,
9.1196889614069536e+64,,
1.821900971681876e+65,,
3.6397509448597122e+65,,
7.2714447270582319e+65,,
1.4526863908321642e+66,,
2.9021852531134344e+66,,
5.7980302647238106e+66,,
1.1583448996175025e+67,,
2.3141811481526277e+67,,
4.6233720403018029e+67,,
9.2368171383481779e+67,,
1.8453886501067223e+68,,
3.6868487635913754e+68,,
7.3658820900015626e+68,,
1.471621578687773e+69,,
2.9401498189808303e+69,,
5.8741453338435498e+69,,
1.1736046197553591e+70,,
2.3447730532949246e+70,,
4.6846989133799855e+70,,
9.3597533323091967e+70,,
1.8700316539136628e+71,,
3.7362448737543598e+71,,
7.4648917028900673e+71,,
1.4914664255996411e+72,,
2.9799242694683133e+72,,
5.9538615962435013e+72,,
1.1895809204443092e+73,,
2.3767909153190224e+73,,
4.748863511490603e+73,,
9.4883370299473338e+73,,
1.8957986537623031e+74,,
3.7878781325923946e+74,,
7.5683542520364862e+74,,
1.51219765147075e+75,,
3.0214631867585498e+75,,
6.0370904562949468e+75,,
1.2062565218168058e+76,,
2.4102010359221188e+76,,
4.8158001275068838e+76,,
9.6224401307187026e+76,,
1.9226646795328181e+77,,
3.8416998749154064e+77,,
7.676174908428196e+77,,
1.5337967812448658e+78,,
3.0647305836040876e+78,,
6.1237618288094256e+78,,
1.2236177775737213e+79,,
2.4449768500533489e+79,,
4.8854570591775906e+79,,
9.7619620325320881e+79,,
1.9506101608649411e+80,,
3.8976720397258093e+80,,
7.7882796696177839e+80,,
1.5562494305355665e+81,,
3.1096985081627558e+81,,
6.2138214140712727e+81,,
1.2416541427155036e+82,,
2.4810978861507941e+82,,
4.9577945778416214e+82,,
9.9068256631200577e+82,,
1.9796201517278528e+83,,
3.9557656549932368e+83,,
7.9046123986864576e+83,,
1.5795447269413973e+84,,
3.1563459129735058e+84,,
6.3072284871224006e+84,,
1.2603577414020163e+85,,
2.5185489213548644e+85,,
5.0327832768476655e+85,,
1.0056974250932304e+86,,
2.0096836990343376e+86,,
4.0159596030248568e+86,,
8.0251324098520625e+86,,
1.6036748378657093e+87,,
3.2046577314576167e+87,,
6.4039540914481444e+87,,
1.2797230136243454e+88,,
2.557319290328318e+88,,
5.1104027193833666e+88,,
1.0212368679687312e+89,,
2.0407933250411086e+89,,
4.0782396076844986e+89,,
8.1498124866522434e+89,,
1.628634582689895e+90,,
3.2546241189252311e+90,,
6.5039795535066409e+90,,
1.2997464244575479e+91,,
2.5974023161513106e+91,,
5.190640324452419e+91,,
1.0372985307548388e+92,,
2.0729446004040864e+92,,
4.1425973985068682e+92,,
8.2786372453306682e+92,,
1.6544211123167413e+93,,
3.3062398250722251e+93,,
6.6072952539159218e+93,,
1.320426223414647e+94,,
2.6387948390246674e+94,,
5.273490443808575e+94,,
1.0538814159144417e+95,,
2.1061357900374181e+95,,
4.2090300169829765e+95,,
8.4116017758756601e+95,,
1.6810336429417876e+96,,
3.3595036723969898e+96,,
6.713899605542122e+96,,
1.3417622442190229e+97,,
2.6814968239367828e+97,,
5.3589535931683643e+97,,
1.0709857419041073e+98,,
2.1403675578780113e+98,,
4.2775392379591575e+98,,
8.5487105080303345e+98,,
1.7084732337948685e+99,,
3.4144181205618705e+99,,
6.8237981995876997e+99,,
1.3637557374188025e+100,,
2.7255110325370295e+100,,
5.4470358089566337e+100,,
1.0886128170662817e+101,,
2.1756427196456099e+101,,
4.3481310848928911e+101,,
8.6899762608548656e+101,,
1.7367426007805774e+102,,
3.4709889009698471e+102,,
6.937003089023613e+102,,
1.3864092298680298e+103,,
2.7708427475683364e+103,,
5.5377481078798243e+103,,
1.1067649336401598e+104,,
2.2119660349682919e+104,,
4.4208154221382851e+104,,
8.8354194430284782e+104,,
1.7658459596188875e+105,,
3.5292247090773848e+105,,
7.053532185026563e+105,,
1.4097264063272521e+106,,
2.8174995405987373e+106,,
5.631106031262119e+106,,
1.1254452783668909e+107,,
2.2493440319973163e+107,,
4.4956056108447833e+107,,
8.985067377711746e+107,,
1.7957888933771893e+108,,
3.5891369444733834e+108,,
7.173408746962761e+108,,
1.4337120093856234e+109,,
2.8654910756383862e+109,,
5.7271292596728904e+109,,
1.1446578568640289e+110,,
2.2877848589957431e+110,,
4.5725182177001801e+110,,
9.1389537309418554e+110,,
1.8265782402877772e+111,,
3.6507394907059709e+111,,
7.296660950259116e+111,,
1.4583717546461714e+112,,
2.9148289426685492e+112,,
5.8258412861775388e+112,,
1.1644074294899161e+113,,
2.3272981584481306e+113,,
4.6515727678188722e+113,,
9.297118026564921e+113,,
1.858221998529811e+114,,
3.7140485283678827e+114,,
7.4233215194804232e+114,,
1.4837122586958301e+115,,
2.9655265162387308e+115,,
5.927269138743375e+115,,
1.1846994568472161e+116,,
2.3678949600730874e+116,,
4.7327915347011608e+116,,
9.4596052338725151e+116,,
1.8907292452708075e+117,,
3.7790823761499226e+117,,
7.5534274162640901e+117,,
1.509740977835751e+118,,
3.0175988351703538e+118,,
6.0314431440476256e+118,,
1.2055400534077974e+119,,
2.4095875897665296e+119,,
4.816199361441554e+119,,
9.6264654165335329e+119,,
1.9241100677306678e+120,,
3.8458613554742844e+120,,
7.6870195734980842e+120,,
1.5364661558794108e+121,,
3.071062500038794e+121,,
6.1383967261347998e+121,,
1.2269359479671674e+122,,
2.4523895919248678e+122,,
4.901823508140089e+122,,
9.7977534328170877e+122,,
1.9583755042798837e+123,,
3.9144076747439279e+123,,
7.8241426678132438e+123,,
1.5638967794264683e+124,,
3.1259355852230141e+124,,
6.248166233416476e+124,,
1.2488944496026093e+125,,
2.4963156624307488e+125,,
4.9896935199114316e+125,,
9.9735286754665496e+125,,
1.9935374931375607e+126,,
3.9847453280797396e+126,,
7.9648449195075275e+126,,
1.5920425382860281e+127,,
3.1822375605140114e+127,,
6.3607907831554537e+127,,
1.2714234167658883e+128,,
2.5413815871007498e+128,,
5.0798411040133969e+128,,
1.0153854825764869e+129,,
2.0296088229975397e+129,,
4.0568999958628314e+129,,
8.1091778914502466e+129,,
1.6209137846492955e+130,,
3.2399892078541623e+130,,
6.476312090850583e+130,,
1.2945312221418901e+131,,
2.587604168914653e+131,,
5.1722999783090315e+131,,
1.0338799536160611e+132,,
2.0666030661735812e+132,,
4.1308989030911029e+132,,
8.2571961872824275e+132,,
1.6505214684316161e+133,,
3.2992124820859603e+133,,
6.594774168854598e+133,,
1.3182266871210509e+134,,
2.6350010849443977e+134,,
5.2671055577038521e+134,,
1.0528433740722308e+135,,
2.1045344265133523e+135,,
4.2067704830768073e+135,,
8.4089567061366202e+135,,
1.6808769718087679e+136,,
3.3599301430474143e+136,,
6.7162225073726964e+136,,
1.3425188993126692e+137,,
2.6835904794740049e+137,,
5.3642940465471814e+137,,
1.0722829630127405e+138,,
2.1434172875518056e+138,,
4.2845433693136335e+138,,
8.5645163938458508e+138,,
1.711991607760235e+139,,
3.4221646378697489e+139,,
6.8407015845267808e+139,,
1.3674166581930367e+140,,
2.7333897306421812e+140,,
5.4638996965980696e+140,,
1.0922054560289294e+141,,
2.1832648604483911e+141,,
4.3642433969954487e+141,,
8.7239255991785957e+141,,
1.7438751493718435e+142,,
3.4859348484740882e+142,,
6.9682476803372519e+142,,
1.3929268890185571e+143,,
2.7844119531917811e+143,,
5.5659471036404212e+143,,
1.1126154101711502e+144,,
2.2240854580448705e+144,,
4.4458854216250951e+144,,
8.8872101283256639e+144,,
1.7765318977846817e+145,,
3.5512474853162669e+145,,
7.0988700602327889e+145,,
1.4190505333147809e+146,,
2.8366570331292787e+146,,
5.6704316700851484e+146,,
1.1335109510187093e+147,,
2.2658732472498161e+147,,
4.5294532331840947e+147,,
9.0543276669428176e+147,,
1.8099512381161111e+148,,
3.6180766433508428e+148,,
7.2325067685043027e+148,,
1.4457730007517732e+149,,
2.8900910280799845e+149,,
5.7772752124172326e+149,,
1.1548742168637396e+150,,
2.3085877028531653e+150,,
4.6148554297018585e+150,,
9.2250731196222697e+150,,
1.8440873561023558e+151,,
3.6863203900371173e+151,,
7.3689318221725506e+151,,
1.473044352111052e+152,,
2.9446039010623749e+152,,
5.8862359204877908e+152,,
1.176652199724945e+153,,
2.3521128890243593e+153,,
4.7018389813897978e+153,,
9.3988953462808349e+153,,
inf,,